A    aa
MIKROMETER    m ih k r ao m ## t ## r
MIKROMETRI    m ih k r ao m ## t r ih
MIKRON    m ih k r ao n
MIKROORGANISME    m ih k r ao ao r g aa n ih s m ##
MIKROPROSESOR    m ih k r ao p r ao s ## s ao r
MIKROSEFALIA    m ih k r ao s ## f aa l ih aa
MIKROSEKON    m ih k r ao s ## k ao n
MIKROSKOP    m ih k r ao s k ao p
MIKROSKOPIS    m ih k r ao s k ao p ih s
MIKROSPORA    m ih k r ao s p ao r aa
MIKROTOM    m ih k r ao t ao m
MIKROVILUS    m ih k r ao f ih l uw s
MIKROWATT    m ih k r ao w aa t t
MIKSER    m ih k s ## r
MIKSOEDEMA    m ih k s ao ## d ## m aa
MIL    m ih l
MILAD    m ih l aa d
MILENIUM    m ih l ## n ih uw m
MILI-    m ih l ih
MILIAMPERE    m ih l ih aa m p ## r ##
MILIAR    m ih l ih aa r
MILIARDER    m ih l ih aa r d ## r
MILIARIA    m ih l ih aa r ih aa
MILIARWAN    m ih l ih aa r w aa n
MILIBAR    m ih l ih b aa r
MILIEU    m ih l ih ## uw
MILIGRAM    m ih l ih g r aa m
MILIK    m ih l ih k
MILILITER    m ih l ih l ih t ## r
MILIMETER    m ih l ih m ## t ## r
MILIMIKRON    m ih l ih m ih k r ao n
MILIMOL    m ih l ih m ao l
MILIONER    m ih l ih ao n ## r
MILIR    m ih l ih r
MILISI    m ih l ih s ih
MILITAN    m ih l ih t aa n
MILITANSI    m ih l ih t aa n s ih
MILITER    m ih l ih t ## r
MILITERISME    m ih l ih t ## r ih s m ##
MILITERISTIS    m ih l ih t ## r ih s t ih s
MILIUN    m ih l ih uw n
MILIUNER    m ih l ih uw n ## r
MILIVOLT    m ih l ih f ao l t
MILU    m ih l uw
MIM    m ih m
MIMBAR    m ih m b aa r
MIMEOGRAF    m ih m ## ao g r aa f
MIMESIS    m ih m ## s ih s
MIMI    m ih m ih
MIMIK    m ih m ih k
MIMIKRI    m ih m ih k r ih
MIMIS    m ih m ih s
MIMISAN    m ih m ih s aa n
MIMOSA    m ih m ao s aa
MIMPI    m ih m p ih
MIN    m ih n
MINA    m ih n aa
MINANGSRAYA    m ih n aa ng s r aa y aa
MINAT    m ih n aa t
MINDER    m ih n d ## r
MINDI    m ih n d ih
MINDOAN    m ih n d ao aa n
MINDRING    m ih n d r ih ng
MINERAL    m ih n ## r aa l
MINERALISASI    m ih n ## r aa l ih s aa s ih
MINERALOGI    m ih n ## r aa l ao g ih
MINERALOGIS    m ih n ## r aa l ao g ih s
MINGGAT    m ih ng g aa t
MINGGIR    m ih ng g ih r
MINGGU    m ih ng g uw
MINHAJ    m ih n hh aa jh
MINI    m ih n ih
MINI-    m ih n ih
MINIATUR    m ih n ih aa t uw r
MINIBASKET    m ih n ih b aa s k ## t
MINIBUS    m ih n ih b uw s
MINIKAR    m ih n ih k aa r
MINIKATA    m ih n ih k aa t aa
MINIKOMPUTER    m ih n ih k ao m p uw t ## r
MINIM    m ih n ih m
MINIMAL    m ih n ih m aa l
MINIMARKET    m ih n ih m aa r k ## t
MINIMUM    m ih n ih m uw m
MINIUM    m ih n ih uw m
MINOR    m ih n ao r
MINORITAS    m ih n ao r ih t aa s
MINTA    m ih n t aa
MINTAK    m ih n t aa k
MINTAKAT    m ih n t aa k aa t
MINTAKULBURUJ    m ih n t aa k uw l b uw r uw jh
MINTAL    m ih n t aa l
MINTERAT    m ih n t ## r aa t
MINTUNA    m ih n t uw n aa
MINUM    m ih n uw m
MINUS    m ih n uw s
MINYAK    m ih ny aa k
MIOGLOBIN    m ih ao g l ao b ih n
MIOKARDIA    m ih ao k aa r d ih aa
MIOMA    m ih ao m aa
MIOP    m ih ao p
MIOPIA    m ih ao p ih aa
MIOSIS    m ih ao s ih s
MIOTIK    m ih ao t ih k
MIPIS    m ih p ih s
MIRAH    m ih r aa hh
MIRAI    m ih r ##
MIRAKEL    m ih r aa k ## l
MIRAT    m ih r aa t
MIRIAPOD    m ih r ih aa p ao d
MIRIH    m ih r ih hh
MIRIK    m ih r ih k
MIRING    m ih r ih ng
MIRIP    m ih r ih p
MIRIS    m ih r ih s
MIRMEKOFAG    m ih r m ## k ao f aa g
MIRMEKOFILI    m ih r m ## k ao f ih l ih
MIRMEKOLOGI    m ih r m ## k ao l ao g ih
MISA    m ih s aa
MISAI    m ih s ##
MISAL    m ih s aa l
MISAN    m ih s aa n
MISANTROP    m ih s aa n t r ao p
MISBAH    m ih s b aa hh
MISDINAR    m ih s d ih n aa r
MISI    m ih s ih
MISIL    m ih s ih l
MISIOLOGI    m ih s ih ao l ao g ih
MISIONARIS    m ih s ih ao n aa r ih s
MISIONER    m ih s ih ao n ## r
MISKAL    m ih s k aa l
MISKIN    m ih s k ih n
MISKRAM    m ih s k r aa m
MISOA    m ih s ao aa
MISOFOBIA    m ih s ao f ao b ih aa
MISOGAMI    m ih s ao g aa m ih
MISOGINIS    m ih s ao g ih n ih s
MISPERSEPSI    m ih s p ## r s ## p s ih
MISS    m ih s s
MISTAR    m ih s t aa r
MISTER    m ih s t ## r
MISTERI    m ih s t ## r ih
MISTERIUS    m ih s t ## r ih uw s
MISTIK    m ih s t ih k
MISTIS    m ih s t ih s
MISTISISME    m ih s t ih s ih s m ##
MISTRI    m ih s t r ih
MISUH    m ih s uw hh
MISWAT    m ih s w aa t
MITASI    m ih t aa s ih
MITE    m ih t ##
MITISIDA    m ih t ih s ih d aa
MITOGEN    m ih t ao g ## n
MITOLOGI    m ih t ao l ao g ih
MITOLOGIS    m ih t ao l ao g ih s
MITOS    m ih t ao s
MITOSIS    m ih t ao s ih s
MITRA    m ih t r aa
MITRALIUR    m ih t r aa l ih uw r
MIZAB    m ih z aa b
MIZAN    m ih z aa n
MNEMONIK    m n ## m ao n ih k
MOA    m ao aa
MOB    m ao b
MOBIL    m ao b ih l
MOBILET    m ao b ih l ## t
MOBILISASI    m ao b ih l ih s aa s ih
MOBILISATOR    m ao b ih l ih s aa t ao r
MOBILITAS    m ao b ih l ih t aa s
MOBLONG    m ao b l ao ng
MOBOKRASI    m ao b ao k r aa s ih
MOCHI    m ao ch hh ih
MODAL    m ao d aa l
MODALITAS    m ao d aa l ih t aa s
MODAR    m ao d aa r
MODE    m ao d ##
MODEL    m ao d ## l
MODELING    m ao d ## l ih ng
MODEM    m ao d ## m
MODERAMEN    m ao d ## r aa m ## n
MODERAT    m ao d ## r aa t
MODERATO    m ao d ## r aa t ao
MODERATOR    m ao d ## r aa t ao r
MODERN    m ao d ## r n
MODERNISASI    m ao d ## r n ih s aa s ih
MODERNISME    m ao d ## r n ih s m ##
MODERNITAS    m ao d ## r n ih t aa s
MODERNOMANIAK    m ao d ## r n ao m aa n ih aa k
MODIFIKASI    m ao d ih f ih k aa s ih
MODIFIKATIF    m ao d ih f ih k aa t ih f
MODIN    m ao d ih n
MODIS    m ao d ih s
MODISTE    m ao d ih s t ##
MODOL    m ao d ao l
MODUL    m ao d uw l
MODULAR    m ao d uw l aa r
MODULASI    m ao d uw l aa s ih
MODULATOR    m ao d uw l aa t ao r
MODUS    m ao d uw s
MOFET    m ao f ## t
MOGA    m ao g aa
MOGOK    m ao g ao k
MOHAIR    m ao hh ## r
MOHON    m ao hh ao n
MOHOR    m ao hh ao r
MOJAH    m ao jh aa hh
MOJANG    m ao jh aa ng
MOK    m ao k
MOKA    m ao k aa
MOKAL    m ao k aa l
MOKE    m ao k ##
MOKO    m ao k ao
MOKSA    m ao k s aa
MOL    m ao l
MOLA    m ao l aa
MOLAR    m ao l aa r
MOLE    m ao l ##
MOLEK    m ao l ## k
MOLEKUL    m ao l ## k uw l
MOLEKULER    m ao l ## k uw l ## r
MOLER    m ao l ## r
MOLES    m ao l ## s
MOLIBDEN    m ao l ih b d ## n
MOLIBDENUM    m ao l ih b d ## n uw m
MOLOR    m ao l ao r
MOLOS    m ao l ao s
MOLOTOV    m ao l ao t ao f
MOLUSKA    m ao l uw s k aa
MOMEN    m ao m ## n
MOMENTAL    m ao m ## n t aa l
MOMENTUM    m ao m ## n t uw m
MOMOK    m ao m ao k
MOMONG    m ao m ao ng
MOMOT    m ao m ao t
MONARKI    m ao n aa r k ih
MONCONG    m ao n ch ao ng
MONCOR    m ao n ch ao r
MONDAR-MANDIR    m ao n d aa r m aa n d ih r
MONDELING    m ao n d ## l ih ng
MONDIAL    m ao n d ih aa l
MONDOK    m ao n d ao k
MONDOLAN    m ao n d ao l aa n
MONDONG    m ao n d ao ng
MONEL    m ao n ## l
MONETER    m ao n ## t ## r
MONG    m ao ng
MONGGO    m ao ng g ao
MONGGOL    m ao ng g ao l
MONGKOK    m ao ng k ao k
MONGMONG    m ao ng m ao ng
MONGOLISME    m ao ng ao l ih s m ##
MONGOLOID    m ao ng ao l ## d
MONISME    m ao n ih s m ##
MONITOR    m ao n ih t ao r
MONO    m ao n ao
MONO-    m ao n ao
MONOATOM    m ao n ao aa t ao m
MONODI    m ao n ao d ih
MONODRAMA    m ao n ao d r aa m aa
MONOFAG    m ao n ao f aa g
MONOFOBIA    m ao n ao f ao b ih aa
MONOFONIR    m ao n ao f ao n ih r
MONOGAM    m ao n ao g aa m
MONOGAMI    m ao n ao g aa m ih
MONOGINI    m ao n ao g ih n ih
MONOGRAFI    m ao n ao g r aa f ih
MONOGRAM    m ao n ao g r aa m
MONOKARPA    m ao n ao k aa r p aa
MONOKEL    m ao n ao k ## l
MONOKINI    m ao n ao k ih n ih
MONOKLIN    m ao n ao k l ih n
MONOKLINAL    m ao n ao k l ih n aa l
MONOKOTIL    m ao n ao k ao t ih l
MONOKOTILEDON    m ao n ao k ao t ih l ## d ao n
MONOKRASI    m ao n ao k r aa s ih
MONOKROM    m ao n ao k r ao m
MONOKROMATIS    m ao n ao k r ao m aa t ih s
MONOKROMATOR    m ao n ao k r ao m aa t ao r
MONOKSIDA    m ao n ao k s ih d aa
MONOKULTUR    m ao n ao k uw l t uw r
MONOLINGUAL    m ao n ao l ih ng uw aa l
MONOLIT    m ao n ao l ih t
MONOLITIK    m ao n ao l ih t ih k
MONOLOG    m ao n ao l ao g
MONOLOYALITAS    m ao n ao l ao y aa l ih t aa s
MONOMANIA    m ao n ao m aa n ih aa
MONOMER    m ao n ao m ## r
MONOPLOID    m ao n ao p l ## d
MONOPOLI    m ao n ao p ao l ih
MONOPOLISTIK    m ao n ao p ao l ih s t ih k
MONOPSONI    m ao n ao p s ao n ih
MONOREL    m ao n ao r ## l
MONOSAKARIDA    m ao n ao s aa k aa r ih d aa
MONOSEM    m ao n ao s ## m
MONOSEMANTIK    m ao n ao s ## m aa n t ih k
MONOSEMI    m ao n ao s ## m ih
MONOSILABEL    m ao n ao s ih l aa b ## l
MONOSILABISME    m ao n ao s ih l aa b ih s m ##
MONOSIT    m ao n ao s ih t
MONOSPERMI    m ao n ao s p ## r m ih
MONOTEIS    m ao n ao t ## s
MONOTEISME    m ao n ao t ## s m ##
MONOTIPE    m ao n ao t ih p ##
MONOTON    m ao n ao t ao n
MONSINYUR    m ao n s ih ny uw r
MONSTER    m ao n s t ## r
MONSTERA    m ao n s t ## r aa
MONSUN    m ao n s uw n
MONTASE    m ao n t aa s ##
MONTERING    m ao n t ## r ih ng
MONTIR    m ao n t ih r
MONTIT    m ao n t ih t
MONTOK    m ao n t ao k
MONUMEN    m ao n uw m ## n
MONUMENTAL    m ao n uw m ## n t aa l
MONYET    m ao ny ## t
MONYONG    m ao ny ao ng
MONYOS    m ao ny ao s
MOP    m ao p
MOPELA    m ao p ## l aa
MOPIT    m ao p ih t
MORAK    m ao r aa k
MORAL    m ao r aa l
MORALIS    m ao r aa l ih s
MORALISASI    m ao r aa l ih s aa s ih
MORALISME    m ao r aa l ih s m ##
MORALISTIS    m ao r aa l ih s t ih s
MORALITAS    m ao r aa l ih t aa s
MORAT-MARIT    m ao r aa t m aa r ih t
MORATORIUM    m ao r aa t ao r ih uw m
MORBIDITAS    m ao r b ih d ih t aa s
MORBILI    m ao r b ih l ih
MORDAN    m ao r d aa n
MORENG    m ao r ## ng
MORES    m ao r ## s
MORF    m ao r f
MORFEM    m ao r f ## m
MORFEMIK    m ao r f ## m ih k
MORFEMIS    m ao r f ## m ih s
MORFIN    m ao r f ih n
MORFINIS    m ao r f ih n ih s
MORFOFONEM    m ao r f ao f ao n ## m
MORFOFONEMIK    m ao r f ao f ao n ## m ih k
MORFOFONEMIS    m ao r f ao f ao n ## m ih s
MORFOFONOLOGI    m ao r f ao f ao n ao l ao g ih
MORFOGENESIS    m ao r f ao g ## n ## s ih s
MORFOLOGI    m ao r f ao l ao g ih
MORI    m ao r ih
MORIL    m ao r ih l
MORMON    m ao r m ao n
MORON    m ao r ao n
MORONG    m ao r ao ng
MORSE    m ao r s ##
MORTALITAS    m ao r t aa l ih t aa s
MORTAR    m ao r t aa r
MORTIR    m ao r t ih r
MOSAIK    m ao s ## k
MOSI    m ao s ih
MOSOK    m ao s ao k
MOSTER    m ao s t ## r
MOTA    m ao t aa
MOTEL    m ao t ## l
MOTIF    m ao t ih f
MOTIVASI    m ao t ih f aa s ih
MOTIVATOR    m ao t ih f aa t ao r
MOTO    m ao t ao
MOTOR    m ao t ao r
MOTORIK    m ao t ao r ih k
MOTORIS    m ao t ao r ih s
MOTORISASI    m ao t ao r ih s aa s ih
MOTORSAIKEL    m ao t ao r s ## k ## l
MOYANG    m ao y aa ng
MOZAH    m ao z aa hh
MOZAIK    m ao z ## k
MU    m uw
MUA    m uw aa
MUADIN    m uw aa d ih n
MUAI    m uw ##
MUAK    m uw aa k
MUAKADAH    m uw aa k aa d aa hh
MUAL    m uw aa l
MUALAF    m uw aa l aa f
MUALAMAT    m uw aa l aa m aa t
MUALIF    m uw aa l ih f
MUALIM    m uw aa l ih m
MUAMALAH    m uw aa m aa l aa hh
MUAMALAT    m uw aa m aa l aa t
MUANAS    m uw aa n aa s
MUARA    m uw aa r aa
MUARIKH    m uw aa r ih hh
MUAS    m uw aa s
MUASASAH    m uw aa s aa s aa hh
MUASIR    m uw aa s ih r
MUAT    m uw aa t
MUAZAM    m uw aa z aa m
MUAZIN    m uw aa z ih n
MUBAH    m uw b aa hh
MUBALIG    m uw b aa l ih g
MUBALIGAH    m uw b aa l ih g aa hh
MUBARAK    m uw b aa r aa k
MUBARAT    m uw b aa r aa t
MUBAZIR    m uw b aa z ih r
MUBTADI    m uw b t aa d ih
MUBUT    m uw b uw t
MUCIKARI    m uw ch ih k aa r ih
MUD    m uw d
MUDA    m uw d aa
MUDAH    m uw d aa hh
MUDAKAR    m uw d aa k aa r
MUDARABAH    m uw d aa r aa b aa hh
MUDARAT    m uw d aa r aa t
MUDASIR    m uw d aa s ih r
MUDAT    m uw d aa t
MUDIGAH    m uw d ih g aa hh
MUDIK    m uw d ih k
MUDRA    m uw d r aa
MUDUN    m uw d uw n
MUFAHAM    m uw f aa hh aa m
MUFAKAT    m uw f aa k aa t
MUFARIK    m uw f aa r ih k
MUFASAL    m uw f aa s aa l
MUFASIR    m uw f aa s ih r
MUFLIS    m uw f l ih s
MUFRAD    m uw f r aa d
MUFSIDIN    m uw f s ih d ih n
MUFTI    m uw f t ih
MUGABAT    m uw g aa b aa t
MUHABAH    m uw hh aa b aa hh
MUHADARAH    m uw hh aa d aa r aa hh
MUHADAT    m uw hh aa d aa t
MUHAJAT    m uw hh aa jh aa t
MUHAJIR    m uw hh aa jh ih r
MUHAJIRIN    m uw hh aa jh ih r ih n
MUHAL    m uw hh aa l
MUHALIL    m uw hh aa l ih l
MUHAMI    m uw hh aa m ih
MUHAMMAD    m uw hh aa m m aa d
MUHARAM    m uw hh aa r aa m
MUHASABAH    m uw hh aa s aa b aa hh
MUHIB    m uw hh ih b
MUHIBAH    m uw hh ih b aa hh
MUHIT    m uw hh ih t
MUHLIKAH    m uw hh l ih k aa hh
MUHRIM    m uw hh r ih m
MUHSIN    m uw hh s ih n
MUHTASYAM    m uw hh t aa sh aa m
MUIH    m uw ih hh
MUJADALAH    m uw jh aa d aa l aa hh
MUJADID    m uw jh aa d ih d
MUJAHADAT    m uw jh aa hh aa d aa t
MUJAHID    m uw jh aa hh ih d
MUJAHIDIN    m uw jh aa hh ih d ih n
MUJAIR    m uw jh ## r
MUJANG    m uw jh aa ng
MUJARAB    m uw jh aa r aa b
MUJARAD    m uw jh aa r aa d
MUJARI    m uw jh aa r ih
MUJBIR    m uw jh b ih r
MUJTAHID    m uw jh t aa hh ih d
MUJTAMAK    m uw jh t aa m aa k
MUJUR    m uw jh uw r
MUK    m uw k
MUKA    m uw k aa
MUKABALAH    m uw k aa b aa l aa hh
MUKADAM    m uw k aa d aa m
MUKADAS    m uw k aa d aa s
MUKADIM    m uw k aa d ih m
MUKADIMAH    m uw k aa d ih m aa hh
MUKADIN    m uw k aa d ih n
MUKADIS    m uw k aa d ih s
MUKAH    m uw k aa hh
MUKALAF    m uw k aa l aa f
MUKALID    m uw k aa l ih d
MUKARAM    m uw k aa r aa m
MUKATABAH    m uw k aa t aa b aa hh
MUKENA    m uw k ## n aa
MUKHABARAH    m uw hh aa b aa r aa hh
MUKHALAF    m uw hh aa l aa f
MUKHALAFAH    m uw hh aa l aa f aa hh
MUKHALIF    m uw hh aa l ih f
MUKHALIS    m uw hh aa l ih s
MUKHLIS    m uw hh l ih s
MUKHTASAR    m uw hh t aa s aa r
MUKIBAT    m uw k ih b aa t
MUKIM    m uw k ih m
MUKIMIN    m uw k ih m ih n
MUKJIZAT    m uw k jh ih z aa t
MUKMIN    m uw k m ih n
MUKMINAT    m uw k m ih n aa t
MUKMININ    m uw k m ih n ih n
MUKOPROTEIN    m uw k ao p r ao t ## n
MUKOSA    m uw k ao s aa
MUKOSITIS    m uw k ao s ih t ih s
MUKTABAR    m uw k t aa b aa r
MUKTAMAD    m uw k t aa m aa d
MUKTAMAR    m uw k t aa m aa r
MUKTAMIRIN    m uw k t aa m ih r ih n
MUKTAZILAH    m uw k t aa z ih l aa hh
MUKUN    m uw k uw n
MULA    m uw l aa
MULAI    m uw l ##
MULAKAT    m uw l aa k aa t
MULAMASAH    m uw l aa m aa s aa hh
MULAS    m uw l aa s
MULAT    m uw l aa t
MULATO    m uw l aa t ao
MULAZAMAH    m uw l aa z aa m aa hh
MULHID    m uw l hh ih d
MULIA    m uw l ih aa
MULIAWAN    m uw l ih aa w aa n
MULLAH    m uw l l aa hh
MULSA    m uw l s aa
MULTAZAM    m uw l t aa z aa m
MULTI-    m uw l t ih
MULTIBAHASA    m uw l t ih b aa hh aa s aa
MULTIBAHASAWAN    m uw l t ih b aa hh aa s aa w aa n
MULTIDIMENSI    m uw l t ih d ih m ## n s ih
MULTIDISIPLINER    m uw l t ih d ih s ih p l ih n ## r
MULTIETNIK    m uw l t ih ## t n ih k
MULTIFASET    m uw l t ih f aa s ## t
MULTIFUNGSI    m uw l t ih f uw ng s ih
MULTIGRAVIDA    m uw l t ih g r aa f ih d aa
MULTIGUNA    m uw l t ih g uw n aa
MULTIJUTAWAN    m uw l t ih jh uw t aa w aa n
MULTIKOMPLEKS    m uw l t ih k ao m p l ## k s
MULTIKRISIS    m uw l t ih k r ih s ih s
MULTIKULTUR    m uw l t ih k uw l t uw r
MULTIKULTURALISME    m uw l t ih k uw l t uw r aa l ih s m ##
MULTILATERAL    m uw l t ih l aa t ## r aa l
MULTILINGUAL    m uw l t ih l ih ng uw aa l
MULTILINGUALISME    m uw l t ih l ih ng uw aa l ih s m ##
MULTIMEDIA    m uw l t ih m ## d ih aa
MULTIMETER    m uw l t ih m ## t ## r
MULTIMILIONER    m uw l t ih m ih l ih ao n ## r
MULTINASIONAL    m uw l t ih n aa s ih ao n aa l
MULTINEGARA    m uw l t ih n ## g aa r aa
MULTIORGAN    m uw l t ih ao r g aa n
MULTIPARA    m uw l t ih p aa r aa
MULTIPEL    m uw l t ih p ## l
MULTIPLEKS    m uw l t ih p l ## k s
MULTIPLIKASI    m uw l t ih p l ih k aa s ih
MULTIPLIKATOR    m uw l t ih p l ih k aa t ao r
MULTIPOLAR    m uw l t ih p ao l aa r
MULTIPROSESOR    m uw l t ih p r ao s ## s ao r
MULTIRASIAL    m uw l t ih r aa s ih aa l
MULTIRASIALISME    m uw l t ih r aa s ih aa l ih s m ##
MULTISELULER    m uw l t ih s ## l uw l ## r
MULTIVALEN    m uw l t ih f aa l ## n
MULTIVALENSI    m uw l t ih f aa l ## n s ih
MULTIVITAMIN    m uw l t ih f ih t aa m ih n
MULUK    m uw l uw k
MULUR    m uw l uw r
MULUS    m uw l uw s
MULUT    m uw l uw t
MUMAYIZ    m uw m aa y ih z
MUMBANG    m uw m b aa ng
MUMBUL    m uw m b uw l
MUMBUNG    m uw m b uw ng
MUMET    m uw m ## t
MUMI    m uw m ih
MUMIFIKASI    m uw m ih f ih k aa s ih
MUMPUNG    m uw m p uw ng
MUMPUNI    m uw m p uw n ih
MUMUK    m uw m uw k
MUMUR    m uw m uw r
MUMUT    m uw m uw t
MUNAFIK    m uw n aa f ih k
MUNAFIKIN    m uw n aa f ih k ih n
MUNAJAT    m uw n aa jh aa t
MUNAJIM    m uw n aa jh ih m
MUNASABAH    m uw n aa s aa b aa hh
MUNCANG    m uw n ch aa ng
MUNCI    m uw n ch ih
MUNCIKARI    m uw n ch ih k aa r ih
MUNCRAT    m uw n ch r aa t
MUNCUL    m uw n ch uw l
MUNCUS    m uw n ch uw s
MUNDAM    m uw n d aa m
MUNDING    m uw n d ih ng
MUNDU    m uw n d uw
MUNDUR    m uw n d uw r
MUNG    m uw ng
MUNG-MUNG    m uw ng m uw ng
MUNGGU    m uw ng g uw
MUNGGUR    m uw ng g uw r
MUNGIL    m uw ng ih l
MUNGKAR    m uw ng k aa r
MUNGKIN    m uw ng k ih n
MUNGKIR    m uw ng k ih r
MUNGKUM    m uw ng k uw m
MUNGKUR    m uw ng k uw r
MUNGMUNG    m uw ng m uw ng
MUNGSI    m uw ng s ih
MUNGUT    m uw ng uw t
MUNIB    m uw n ih b
MUNJUNG    m uw n jh uw ng
MUNO    m uw n ao
MUNSYI    m uw n sh ih
MUNTABER    m uw n t aa b ## r
MUNTAH    m uw n t aa hh
MUNTAHA    m uw n t aa hh aa
MUNTU    m uw n t uw
MUNTUL    m uw n t uw l
MUNTUP    m uw n t uw p
MUNYUK    m uw ny uw k
MUON    m uw ao n
MUPAHAM    m uw p aa hh aa m
MUPARIK    m uw p aa r ih k
MUPUS    m uw p uw s
MUR    m uw r
MURA    m uw r aa
MURAD    m uw r aa d
MURADIF    m uw r aa d ih f
MURAH    m uw r aa hh
MURAI    m uw r ##
MURAKAB    m uw r aa k aa b
MURAKABI    m uw r aa k aa b ih
MURAL    m uw r aa l
MURAM    m uw r aa m
MURANG    m uw r aa ng
MURAS    m uw r aa s
MURBA    m uw r b aa
MURBEI    m uw r b ##
MURCA    m uw r ch aa
MURI    m uw r ih
MURID    m uw r ih d
MURING    m uw r ih ng
MURIS    m uw r ih s
MURKA    m uw r k aa
MURNI    m uw r n ih
MURSAL    m uw r s aa l
MURSYID    m uw r sh ih d
MURTAD    m uw r t aa d
MURUAH    m uw r uw aa hh
MURUNG    m uw r uw ng
MURUP    m uw r uw p
MURUS    m uw r uw s
MUS    m uw s
MUSAADAH    m uw s aa aa d aa hh
MUSABAB    m uw s aa b aa b
MUSABAQAH    m uw s aa b aa k aa hh
MUSAFIR    m uw s aa f ih r
MUSAFIRIN    m uw s aa f ih r ih n
MUSAKAT    m uw s aa k aa t
MUSALA    m uw s aa l aa
MUSANG    m uw s aa ng
MUSARA    m uw s aa r aa
MUSEOLOG    m uw s ## ao l ao g
MUSEOLOGI    m uw s ## ao l ao g ih
MUSEUM    m uw s ## uw m
MUSHAF    m uw s hh aa f
MUSIBAH    m uw s ih b aa hh
MUSIK    m uw s ih k
MUSIKAL    m uw s ih k aa l
MUSIKALISASI    m uw s ih k aa l ih s aa s ih
MUSIKALITAS    m uw s ih k aa l ih t aa s
MUSIKOLOG    m uw s ih k ao l ao g
MUSIKOLOGI    m uw s ih k ao l ao g ih
MUSIKOLOGIS    m uw s ih k ao l ao g ih s
MUSIKUS    m uw s ih k uw s
MUSIM    m uw s ih m
MUSISI    m uw s ih s ih
MUSKIL    m uw s k ih l
MUSKOVIT    m uw s k ao f ih t
MUSLIH    m uw s l ih hh
MUSLIHAT    m uw s l ih hh aa t
MUSLIM    m uw s l ih m
MUSLIMAT    m uw s l ih m aa t
MUSLIMIN    m uw s l ih m ih n
MUSLIN    m uw s l ih n
MUSNAH    m uw s n aa hh
MUSPRA    m uw s p r aa
MUSTAHAK    m uw s t aa hh aa k
MUSTAHIK    m uw s t aa hh ih k
MUSTAHIL    m uw s t aa hh ih l
MUSTAID    m uw s t ## d
MUSTAJAB    m uw s t aa jh aa b
MUSTAK    m uw s t aa k
MUSTAKA    m uw s t aa k aa
MUSTAKIM    m uw s t aa k ih m
MUSTAMIK    m uw s t aa m ih k
MUSTANG    m uw s t aa ng
MUSUH    m uw s uw hh
MUSYARAKAH    m uw sh aa r aa k aa hh
MUSYARAKAT    m uw sh aa r aa k aa t
MUSYARIK    m uw sh aa r ih k
MUSYAWARAH    m uw sh aa w aa r aa hh
MUSYAWARAT    m uw sh aa w aa r aa t
MUSYRIK    m uw sh r ih k
MUSYRIKIN    m uw sh r ih k ih n
MUSYTAK    m uw sh t aa k
MUSYTARI    m uw sh t aa r ih
MUTABAR    m uw t aa b aa r
MUTAGEN    m uw t aa g ## n
MUTAH    m uw t aa hh
MUTAKADIM    m uw t aa k aa d ih m
MUTAKALIM    m uw t aa k aa l ih m
MUTAKHIR    m uw t aa hh ih r
MUTAKI    m uw t aa k ih
MUTALAAH    m uw t aa l aa aa hh
MUTAMAD    m uw t aa m aa d
MUTAN    m uw t aa n
MUTASAWIF    m uw t aa s aa w ih f
MUTASI    m uw t aa s ih
MUTAWIF    m uw t aa w ih f
MUTE    m uw t ##
MUTIARA    m uw t ih aa r aa
MUTIH    m uw t ih hh
MUTILASI    m uw t ih l aa s ih
MUTISME    m uw t ih s m ##
MUTLAK    m uw t l aa k
MUTMAINAH    m uw t m ## n aa hh
MUTU    m uw t uw
MUTUALISME    m uw t uw aa l ih s m ##
MUTUNG    m uw t uw ng
MUWAFAKAT    m uw w aa f aa k aa t
MUWAHID    m uw w aa hh ih d
MUWAJAHAH    m uw w aa jh aa hh aa hh
MUWAKAL    m uw w aa k aa l
MUWAKIL    m uw w aa k ih l
MUWARI    m uw w aa r ih
MUZAH    m uw z aa hh
MUZAKAR    m uw z aa k aa r
MUZAKARAH    m uw z aa k aa r aa hh
MUZAKI    m uw z aa k ih
MUZAMIL    m uw z aa m ih l
MUZAWIR    m uw z aa w ih r
MUZHAB    m uw z hh aa b
N    n
NA    n aa
NAAM    n aa aa m
NABATAH    n aa b aa t aa hh
NABATI    n aa b aa t ih
NABI    n aa b ih
NABTUN    n aa b t uw n
NABU    n aa b uw
NADA    n aa d aa
NADI    n aa d ih
NADIM    n aa d ih m
NADIR    n aa d ih r
NAF    n aa f
NAFAR    n aa f aa r
NAFI    n aa f ih
NAFIRI    n aa f ih r ih
NAFKAH    n aa f k aa hh
NAFSI    n aa f s ih
NAFSU    n aa f s uw
NAFTA    n aa f t aa
NAFTAL    n aa f t aa l
NAFTALENA    n aa f t aa l ## n aa
NAFTENA    n aa f t ## n aa
NAFTOL    n aa f t ao l
NAGA    n aa g aa
NAGAM    n aa g aa m
NAGARA    n aa g aa r aa
NAGARI    n aa g aa r ih
NAGASARI    n aa g aa s aa r ih
NAH    n aa hh
NAHAK    n aa hh aa k
NAHAS    n aa hh aa s
NAHDIYIN    n aa hh d ih y ih n
NAHI    n aa hh ih
NAHKODA    n aa hh k ao d aa
NAHU    n aa hh uw
NAIB    n ## b
NAIF    n ## f
NAIK    n ## k
